"RDA Instructions & Elements

The name of the RDA instruction or data element, as presented in the RDA Toolkit (http://access.rdatoolkit.org/).
(T)= Transcribed element",RDA No.,BSR Notes,MARC Coding,"RDA-RDF

The rda-rdf property, as defined by the RDA registry (http://www.rdaregistry.info/)","Context

each triple needed for the mapping listed separately: 
Subject > predicate > Object

Subjects = BF Classes (distinguished by uppercase)
predicates  = BF properties (distinguished by lowercase)
Objects either BF classes or Literal

, indicates subclass/subproperty of the preceding class/property 

prefixes included for non-BIBFRAME properties/classes","LC BF 2.0

The BIBFRAME property used to encode the RDA data element",Anticipated Value,"LD4P bibliotek-o Context

if no prefix assume bf:","LD4P bibliotek-o

The bibliotek-o property used to encode the RDA data element",LD4P bibliotek-o Anticipated Value,LD4P Pattern Recommendation,TG Notes on BF 2.0,Questions
 Place of production (T),2.7.2,PCC Core for rare materials in unpublished form.,008/15-17; ;264 $a (second indicator: 0),rdam:placeOfProduction (P30086),"Instance > provisionActivity > ProvisionActivity, Production
Production > place > Place",Place,Place ,"bf:Instance > bib:hasActivity > bib:ProductionActivity
bib:ProductionActivity > bib:atLocation > prov:Location 
prov:Location > rdfs:label > Literal","bib:hasActivity
bib:atLocation",Literal or URI,Activities Pattern,, 
Date of production,2.7.6,"Record date of production for a resource in unpublished form.
Archival materials: Additional guidance may be found in DACS 2.4.
Rare materials: Transcribe date(s) of production found in the resource.",264 $c (second indicator: 0),rdam:dateOfProduction(P30009),"Instance > provisionActivity > ProvisionActivity, Production
Production > date > Literal",date,Literal,"bf:Instance > bib:hasActivity > bib:ProductionActivity
bib:ProductionActivity > dcterms:date > Literal 
","bib:hasActivity
dcterms:date",Literal,Activities Pattern,, 
Place of publication (T),2.8.2,"For cataloging purposes, all online resources are considered published.
If more than one, only the first recorded is required.
Also transcribe current place if it differs (for multipart monographs).
Rare materials: Generally transcribe all places of publication (see DCRM(B,C,G,M) 4B6). If a place of publication is known to be fictitious or incorrect, supply a correction in square brackets (see DCRM(B,C,G,M) 4B9).",008/15-17; 264 $a (second indicator: 1),rdam:placeOfPublication(P30088),"Instance > provisionActivity > ProvisionActivity, Publication
Publication > place > Place",Place,Place ,"bf:Instance > bib:hasActivity > bib:PublisherActivity
bib:PublisherActivity > bib:atLocation > prov:Location 
prov:Location > rdfs:label > Literal","bib:hasActivity
bib:atLocation",Literal or URI,Activities Pattern, , 
Publisher's name (T),2.8.4,"If more than one, only the first recorded is required.
Also transcribe current publisher if it differs (for multipart monographs).
Rare materials: Generally transcribe all publishers’ names (see DCRM(B,C,G,M) 4C6). If a publisher’s name is known to be fictitious or incorrect, supply a correction in square brackets (see DCRM(B,C,G,M) 4C5).",264 $b(second indicator: 1),rdam:publishersName(P30176),"Instance > provisionActivity > ProvisionActivity, Publication
Publication > agent > Agent",Agent,Agent ,"bf:Instance > bib:hasActivity > bib:PublisherActivity
bib:PublisherActivity > bib:hasAgent > foaf:Agent
foaf:Agent > rdfs:label > Literal","bib:hasActivity
bib:hasAgent",Literal or URI,Activities Pattern,, 
Date of publication,2.8.6,"Record the publication date(s) found in the resource, supply date(s) in brackets, or record “[date of publication not identified].”
Rare materials: Transcribe date(s) found in the resource (see DCRM(B,C,G,M) 4D1). If a date of publication is known to be fictitious or incorrect, supply the correct year in square brackets (see DCRM(B,C,G,M) 4D2.4).",264 $c (second indicator: 1),rdam:dateOfPublication(P30011),"Instance > provisionActivity > ProvisionActivity, Publication
Publication > date > Literal",date,Literal,"bf:Instance > bib:hasActivity > bib:PublisherActivity
bib:PublisherActivity > dcterms:date > Literal ","bib:hasActivity
dcterms:date",Literal,Activities Pattern,,"Should we change this to start date and end date now; how should this be modeled? Could one create a single ""dateSpan"" as a sub-property of ""date""? "
Place of distribution (T),2.9.2,"PCC Core for rare materials when present in the resource. Generally transcribe all places of distribution (see DCRM(B,C,G,M) 4B6). If a place of distribution is known to be fictitious or incorrect, supply a correction in square brackets (see DCRM(B,C,G,M) 4B9). If no place of distribution appears in the resource, supplying the place of distribution or recording “[Place of distribution not identified]” is not required.",264 $a (second indicator: 2),rdam:placeOfDistribution(P30085),"Instance > provisionActivity > ProvisionActivity, Distribution
Distribution > place > Place",Place,Place ,"bf:Instance > bib:hasActivity > bib:DistributorActivity
bib:DistributorActivity > bib:atLocation > prov:Location 
prov:Location > rdfs:label > Literal","bib:hasActivity
bib:atLocation",Literal or URI,Activities Pattern,, 
Distributor's name (T),2.9.4,"PCC Core for rare materials when present in the resource. Generally transcribe all distributors’ names (see DCRM(B,C,G,M) 4C6). If a distributor’s name is known to be fictitious or incorrect, supply a correction in square brackets (see DCRM(B,C,G,M) 4C5). If no distributor’s name appears in the resource, supplying the distributor’s name or recording “[distributor not identified]” is not required.",264 $b (Second indicator: 2),rdam:distributorsName(P30173),"Instance > provisionActivity > ProvisionActivity, Distributor
Distributor > agent > Agent",Agent,Agent ,"bf:Instance > bib:hasActivity > bib:DistributorActivity
bib:DistributorActivity > bib:hasAgent > foaf:Agent
foaf:Agent > rdfs:label > Literal","bib:hasActivity
bib:hasAgent
",Literal or URI,Activities Pattern,, 
Date of distribution,2.9.6,"PCC Core for rare materials when present in the resource. Generally transcribe all dates of distribution (see DCRM(B,C,G,M) 4D1). If a date of distribution is known to be fictitious or incorrect, supply the correct year in square brackets (see DCRM(B,C,G,M) 4D2.4). If no date of distribution appears in the resource, supplying the date of distribution or recording “[date of distribution not identified]” is not required.",264 $c (Second indicator: 2),rdam:dateOfDistribution (P30008),"Instance > provisionActivity > ProvisionActivity, Distribution
Distribution > date > Literal",date,Literal,"bf:Instance > bib:hasActivity > bib:DistributorActivity
bib:DistributorActivity > dcterms:date > Literal ","bib:hasActivity
dcterms:date",Literal,Activities Pattern,,
Place of manufacture (T),2.10.2,"PCC Core for rare materials when present in the resource, if appropriate. Generally transcribe all places of manufacture if appropriate (see DCRM(B,C,G,M) 4E). If a place of manufacture is known to be fictitious or incorrect, supply a correction in square brackets. If no place of manufacture appears in the resource, supplying the place of manufacture or recording “[Place of manufacture not identified]” is not required.",264 $a(Second indicator: 3),rdam:placeOfManufacture(P30087),"Instance > provisionActivity > ProvisionActivity, Manufacture
Manufacture > place > Place",Place,Place ,"bf:Instance > bib:hasActivity > bib:ManufacturerActivity
bib:ManufacturerActivity > bib:atLocation > prov:Location 
prov:Location > rdfs:label > Literal","bib:hasActivity
bib:atLocation",Literal or URI,Activities Pattern,, 
Manufacturer's name (T),2.10.4,"PCC Core for rare materials when present in the resource, if appropriate. Generally transcribe all manufacturers’ names if appropriate (see DCRM(B,C,G,M) 4F). If a manufacturer’s name is known to be fictitious or incorrect, supply a correction in square brackets. If no manufacturer’s name appears in the resource, supplying the manufacturer’s name or recording “[manufacturer not identified]” is not required.",264 $b (Second indicator: 3),rdam:manufacturersName(P30175),"Instance > provisionActivity > ProvisionActivity,Manufacture
Manufacture > agent > Agent",Agent,Agent,"bf:Instance > bib:hasActivity > bib:ManufacturerActivity
bib:ManufacturerActivity > bib:hasAgent > foaf:Agent
foaf:Agent > rdfs:label > Literal","bib:hasActivity
bib:hasAgent",Literal or URI,Activities Pattern,, 
Date of manufacture,2.10.6,"PCC Core for rare materials when present in the resource, if appropriate. Generally transcribe all dates of manufacture if appropriate (see DCRM(B,C,G,M) 4G). If a date of manufacture is known to be fictitious or incorrect, supply the correct year in square brackets. If no date of manufacture appears in the resource, supplying the date of manufacture or recording “[date of manufacture not identified]” is not required.",264 $c (Second indicator: 3),rdam:dateOfManufacture(P30010),"Instance > provisionActivity > ProvisionActivity, Manufacture
Manufacture > date > Literal",date,Literal,"bf:Instance > bib:hasActivity > bib:ManufacturerActivity
bib:ManufacturerActivity > dcterms:date > Literal ","bib:hasActivity
dcterms:date",Literal,Activities Pattern,,
Copyright date (T),2.11,"Rare materials: PCC recommends recording the year of copyright when present in the resource. If a full transcription of the copyright statement is desired, record it in a note.",264 $c (Second indicator: 4),rdam:copyrightDate(P30007),"Work > date, copyrightDate > Literal
or
Instance > date, copyrightDate > Literal",copyrightDate,Literal,"bf:Instance > bib:hasActivity > bib:CopyrightHolderActivity
bib:CopyrightHolderActivity > dcterms:date > Literal ","bib:hasActivity
dcterms:date",Literal,Activities Pattern, Can be used with: Work or Instance, 
Title proper of series (T),2.12.2,,490 $a,rdam:titleProperOfSeries (P30157),Instance > seriesStatement > Literal,seriesStatement,Literal,Instance > seriesStatement > Literal,seriesStatement ,Literal,,Definition says: includes the ISSN if applicable. , 
Other title information of series (T),2.12.4,PCC Core for rare materials.,490 $a,rdam:otherTitleInformationOfSeries (P30143),,Not Found,,Not found? ,Not found? ,,Title Pattern? ,,"In the current BF 2.0, this would apparently be included in the seriesStatement property. Do we need a new property for this? This element is PCC core for rare materials only. (the question partially resolved based on the discussion in the group on Jan., 17, 2017, ""not recommending to add a new term unless rare book cataloging community request; can add RDA registry terms if needed"")"
Statement of responsibility relating to series (T),2.12.6,PCC Core for rare materials.,490 $a,rdam:statementOfResponsibilityRelatingToSeries(P30119),,Not Found,,Not found? ,Not found? ,,,,"In the current BF 2.0, this would apparently be included in the seriesStatement property. Do we need a new property for this? This element is PCC core for rare materials only."
ISSN of series (T),2.12.8,,490 $x,rdam:issnOfSeries(P30166),Instance > seriesStatement > Literal,seriesStatement,Literal,?,?,?,,Definition says: includes the ISSN if applicable. ,
Numbering within series (T),2.12.9,,490 $v,rdam:numberingWithinSeries(P30014),Instance > seriesEnumeration > Literal,seriesEnumeration ,Literal,Instance > seriesEnumeration > Literal,seriesEnumeration ,,,,
Title proper of subseries (T),2.12.10,,490 $a,rdam:titleProperOfSubseries(P30158),Instance > subseriesStatement > Literal ,subseriesStatement  ,Literal,Instance > subseriesStatement > Literal ,subseriesStatement ,Literal,,"Definition says: includes the ISSN if applicable.  Converter Observations: this will be converted into the seriesStatement property, not the subseriesStatement property.  Subseries title proper info resides in 490 $a, either in the same $a as the series statement, or a separate $a.  The converter converts anything in 490 $a into the seriesStatement property.",
ISSN of subseries (T),2.12.16,Transcribe both ISSN of series and ISSN of subseries if both are present.,490 $x,rdam:issnOfSubseries(P30167),Instance > subseriesStatement > Literal ,subseriesStatement  ,Literal,,,,,"Definition says: includes the ISSN if applicable. Converter Observations: this will be converted into the seriesStatement property, not the subseriesStatement property.  Subseries ISSN resides in 490 $x.  The converter converts anything in 490 $x into the seriesStatement property.",
Numbering within subseries (T),2.12.17,,490 $v,rdam:numberingWithinSuberies(P30015),Instance > subseriesEnumeration > Literal ,subseriesEnumeration   ,Literal,Instance > subseriesEnumeration > Literal ,subseriesEnumeration   ,Literal,,"Converter Observations: this will be converted into the seriesEnumeration property, not the subseriesEnumeration property.  Subseries enumeration info resides in 490 $v, just like series enumeration.  The converter converts anything in 490 $v into the seriesEnumeration property.",
Mode of issuance,2.13,,Ldr/07,rdam:modeOfIssuance(P30003),Instance > issuance > Issuance,issuance,Issuance,Instance > issuance > Issuance,issuance,Issuance,,"Per LC Marc to BF specifications for the Leader, use URIs from http://id.lc.gov/vocabulary/issuance/",
Identifier for the manifestation,2.15,Rare music: Record publisher & plate numbers for rare notated music; record issue numbers for rare audio.,"020, 024, 026-028, 074, 088",rdam:identifierForTheManifestation(P30004),"Instance > identifiedBy > Identifier, [Specific subclass of identifier]
[Specific subclass of identifier] > rdf:value > Literal","isbn;  Fingerprint; Strn; PublisherNumber ;  ReportNumber 
Entire list is at  http://id.loc.gov/ontologies/bibframe.html#c_Identifier
","Literal (Should we define the value type here as Literal only, or keep it open to any type, including URI?)","bf:Instance > bf:identifiedBy > bf:Isbn 
bf:Isbn > rdf:value > ""0877790019""",bf:identifiedBy,Literal or URI,Identifier pattern,Also see specification on indentifiers at http://www.loc.gov/bibframe/docs/pdf/bf2-identifiers-apr2016.pdf,"
"
Preferred citation ,2.16,PCC Core for archival materials.,524,rdam:preferredCitation(P30005),"Work > preferredCitation > Literal
or
Instance > preferredCitation > Literal",preferredCitation,Literal,"Work > preferredCitation > Literal
or
Instance > preferredCitation > Literal",preferredCitation,Literal,, Can be used with: Work or Instance,
Note on title,2.17.2,"Make a note giving the source of title, if applicable.
Online resources: Always give this note using a MARC 588 field. See PCC Provider-Neutral E-Resource MARC Record Guide: P-N/RDA Version for full explanation.
Rare graphics: Always make a note giving the source of title.","500, 588",rdam:noteOnTitle(P30063),"Instance > note > Note
Note > rdfs:label > Literal
Note > noteType> Literal
",Note; noteType,Note; Literal,"bf:Instance > bib:hasPreferredTitle > bf:Title
bf:Title > bib:isTargetOf > oa:Annotation 
oa:Annotation > oa:motivatedBy > [Named Individual]
oa:Annotation > oa:hasBody > oa:TextualBody, bf:Note
oa:TextualBody, bf:Note > rdfs:label > Literal ","bib:hasPreferredTitle
bib:isTargetOf
oa:motivatedBy
oa:hasBody
rdfs:label",oa:TexuatualBody; Literal,Notes and Annotation pattern," See specifications on Notes http://www.loc.gov/bibframe/docs/pdf/bf2-notes-june2016.pdf
Per LC MARC to BF Specs if the note is currently coded as 500 it will convert as generic Bf:Note.
"," BF does define any specific note types but rather expects that if specificity is desired, an external vocabulary should be used.   Should we recommend using an external vocabulary of note types, or just use bf:noteType with a literal as in their example of ""binding""?"
Note on statement of responsibility ,2.17.3,"PCC Core for rare atlases, rare books, and rare music if a title and statement of responsibility as recorded have been transposed from their presentation in the source. Make a note indicating the transposition.",500,rdam:noteOnStatementOfResponsibility(P30057),"Instance > note > Note
Note > rdfs:label > Literal
Note > noteType> Literal",Note; noteType,Note; Literal,"bf:Instance > bib:isTargetOf > oa:Annotation 
oa:Annotation > oa:motivatedBy > [Named Individual]
oa:Annotation > oa:hasBody > oa:TextualBody, bf:Note
oa:TextualBody, bf:Note > rdfs:label > Literal ","bib:isTargetOf
oa:motivatedBy
oa:hasBody
rdfs:label",oa:TexuatualBody; Literal,Notes and Annotation pattern, See comment on Note on title,
"Note on issue, part, or iteration used as the basis for identification of the resource ",2.17.13,"PCC Core for all online monographs.
PCC Core for print multipart monographs, when applicable.",588,rdam:noteOnIssuePartOrOtherIterationUsedAsTheBasisForTheIdentificationOfTheResource (P30050),"Instance > note > Note
Note > rdfs:label > Literal
Note > noteType> Literal",Note; noteType,Note; Literal,Forthcoming?,Forthcoming?,oa:TexuatualBody; Literal,Notes and Annotation pattern," Per LC Marc to BF Specs Notes currently in the 588 field will convert as bf:Note with noteType ""description source""; see Example 4 in http://www.loc.gov/bibframe/docs/pdf/bf2-notes-june2016.pdf
",
Custodial history of item ,2.18,PCC Core for archival materials; additional guidance may be found in DACS 5.1.,561,rdai:custodialHistoryOfItem(P40026),Item > custodialHistory > Literal, custodialHistory     ,Literal,Forthcoming?,Forthcoming?,,Forthcoming Provenance and Custodial History pattern,,
Immediate source of acquisition of item ,2.19,PCC Core for archival materials; additional guidance may be found in DACS 5.2.,541,rdai:immediateSourceOfAcquisitionOfItem(P40050),Item > immediateAcquisition > Literal,immediateAcquisition  ,Literal,"bf:Item > bib:hasActivity > bib:AquisitionActivity 

",bib:hasActivity,bib:AquisitionActivity ,Activities Pattern,,
Describing Carriers,,,,,,,,,,,,,
Media type,3.2,,337,rdam:mediaType(P30002),"Work > media > Media
Instance > media > Media",media,Media,bf:Instance > rdf:type > [rdamt:],rdf:type,RDA Media Types Named Individuals,Content/Carrier/Media Type pattern,,"Y when controlled via an established vocab agreed upon by the user community
$2 rdamedia refers to 2 vocab sources for URI: id.loc and rdaregistry.info"
Carrier type,3.3,"Always record in 338. For some resource types, 007 field(s) will also be required, including the Specific Material Designation (007/01) for resources other than textual monographs.","007/01, 338",rdam:carrierType(P30001),Instance > carrier > Carrier,carrier,Carrier,bf:Instance > rdf:type > [rdact:],rdf:type,RDA Carrier Types Named Individuals,Content/Carrier/Media Type pattern,,"Y for URI when controlled via an established vocab agreed upon by the user community
$2 rdamedia refers to 2 vocab sources for URI: id.loc and rdaregistry.info"
Extent,3.4,"Always record extent, even though RDA only considers extent to be core if the resource is complete or the total extent is known. Use RDA elements under 3.4.1-3.4.6, as appropriate to the resource.
Online resources: Record extent as “1 online resource” followed by either pagination (for textual materials) or format-specific terminology when applicable (e.g., vocal score, videodisc, slide, atlas). Record the subunits only if readily ascertainable and considered important for identification. Example: 1 online resource (1 vocal score (28 pages)).
Cartographic resources: Include accompanying material ($e), if applicable.
Rare materials: Apply Descriptive Cataloging of Rare Materials (DCRM) conventions when recording extent; however, do not use abbreviations.",300 $a,rdam:extent(P30182),"bf:Instance > bf:extent > bf:Extent
bf:Extent > rdfs:label > Literal",extent,Extent; Literal,Instance > extent > Extent,extent,Extent ,,,"(based on the BF example, seems the value can be literal? http://bibframe.org/vocab/extent.html   Also it's kind of interesting, why extent has both a property and a Class, but dimensions has only a property, one question accordingly would be for those elements with both property and class type, should anticipated value be further discussed for the Class type?)"
Dimensions,3.5,"PCC Core for audio recordings, notated music, moving images, still images, cartographic resources, direct-access electronic resources, and rare materials (for rare graphic materials, always specify what was measured). Use RDA elements under 3.5-3.5.3, as appropriate to the resource.","007/04, 
300 $c, 
340 $b",rdam:dimensions(P30169),Instance > dimensions > Literal,dimensions,Literal,"bf:Instance > :hasMeasurementGroup > :MeasurementGroup
:MeasurementGroup > :hasMeasurement > :Measurement 
:MeasurementGroup > :dcterms:description > Literal
:Measurement > :hasUnit > [named individual]
:Measurement > rdf:value > [Numerical literal]
",":hasMeasurementGroup
:hasMeasurement        
dcterms:description        
:hasUnit 
rdf:value",":MeasurementGroup
:Measurement         
Literal        
[Named individual]
[Numerical literal]        ",Measurements pattern,,
Base material,3.6,"PCC Core for graphic materials.
PCC recommends for historical audio recordings.","007/04, 300, 340",rdam:baseMaterial(P30208),Instance> baseMaterial > BaseMaterial, baseMaterial,BaseMaterial,"bf:Instance >:hasPhysicalCharacteristic > :Material
:Material > :baseMaterial > Literal or Named Individual 

",":hasPhysicalCharacteristic
:baseMaterial        

",":Material
Literal or Named Individual ",Physical Characteristics pattern,,"Y for URI when controlled via an established vocab agreed upon by the user community

$2 rdamedia refers to 2 vocab sources for URI: id.loc and rdaregistry.info

value vocab decaprecated: http://www.rdaregistry.info/termList/RDAbaseMaterial/"
Applied material,3.7,PCC Core for graphic materials.,"300, 340",rdam:appliedMaterial(P30084),Instance > appliedMaterial > AppliedMaterial,appliedMaterial ,Appliedmaterial,"bf:Instance >:hasPhysicalCharacteristic > :Material
:Material > :appliedMaterial > Literal or Named Individual 

",":hasPhysicalCharacteristic     
:appliedMaterial        
",":Material
Literal or Named Individual ",Physical Characteristics pattern, ,
Mount,3.8,PCC Core for graphic materials.,"007/05, 300, 340",rdam:mount(P30186),Instance > mount > Mount,mount,Mount,"bf:Instance >:hasPhysicalCharacteristic > :Material
:Material > :mount > Literal or Named Individual ",":hasPhysicalCharacteristic     
:mount",":Material
Literal or Named Individual ",Physical Characteristics pattern, ,
Production method,3.9.2,"PCC Core for rare cartographic manuscripts and rare music manuscripts, when applicable.","300, 340, 500",rdam:productionMethodForManuscript(P30189) ,Instance > productionMethod > ProductionMethod,productionMethod,ProductionMethod,Instance > productionMethod > ProductionMethod,productionMethod,ProductionMethod,,,
Layout,3.11,PCC Core for cartographic resources.,"007/00
300 $a ($e)",rdam:layout (P30155),Instance > layout > Layout,layout,Layout,Instance > layout > Layout,layout,Layout,,,
Bibliographic format,3.12,"Rare books, rare music, rare atlases: PCC recommends this element when it is applicable and can be determined.","300, 340",rdam:bookFormat(P30197),Instance > bookFormat > BookFormat,bookFormat ,BookFormat,Instance > bookFormat > BookFormat,bookFormat ,BookFormat,,,
Sound characteristic ,3.16,PCC Core for audio recordings.,"300, 344",rdam:soundCharacteristic(P30125),Instance > soundCharacteristic > SoundCharacteristic ,soundCharacteristic ,SoundCharacteristic,Instance > soundCharacteristic > SoundCharacteristic ,soundCharacteristic ,SoundCharacteristic,," subclassed as: RecordingMethod
RecordingMedium, PlayingSpeed, GrooveCharacteristic,TrackConfig, TapeConfig, PlaybackChannels,PlaybackCharacteristic
", 
Video characteristic ,3.18,"PCC Core for moving images, when applicable.","300, 346",rdam:videoCharacteristic(P30126),Instance > videoCharacteristic > VideoCharacteristic ,videoCharacteristic,VideoCharacteristic,Instance > videoCharacteristic > VideoCharacteristic ,videoCharacteristic,VideoCharacteristic,," subclassed as : VideoFormat, BroadcastStandard",
Digital file characteristic ,3.19,PCC Core for cartographic resources. Use RDA 3.19.1-3.19.8 as appropriate to the resource.,"300, 347, 352",rdam:digitalFileCharacteristic (P30124),Instance > digitalCharacteristic > DigitalCharacteristic,digitalCharacteristic,DigitalCharacteristic,Instance > digitalCharacteristic > DigitalCharacteristic,digitalCharacteristic,DigitalCharacteristic,," subclassed as: FileType, EncodingFormat, FileSize, Resolution, RegionalEncoding, EncodedBitrate, CartographicDataType, CartographicObjectType, ObjectCount",
File type,3.19.2,"PCC Core for audio recordings, notated music, and moving images, when applicable.","300, 347",rdam:fileType(P30018),"Instance > digitalCharacteristic >DigitalCharacteristic, FileType
FileType > rdfs:value > Literal",FileType,Literal,"Instance > digitalCharacteristic >DigitalCharacteristic, FileType
FileType > rdfs:value > Literal",FileType,Literal,, , 
Encoding format,3.19.3,"PCC Core for audio recordings and moving images, when applicable.","300, 347",rdam:encodingFormat(P30096),"Instance > digitalCharacteristic > DigitalCharacteristic, EncodingFormat
EncodingFormat > rdfs:value > Literal",EncodingFormat,Literal,"Instance > digitalCharacteristic > DigitalCharacteristic, EncodingFormat
EncodingFormat > rdfs:value > Literal",EncodingFormat,Literal,, ,
Regional encoding,3.19.6,"PCC Core for moving images, when applicable.","300, 347",rdam:regionalEncoding(P30006),"Instance > digitalCharacteristic > DigitalCharacteristic, RegionalEncording
RegionalEncoding > rdfs:value > Literal",RegionalEncoding,Literal,"Instance > digitalCharacteristic > DigitalCharacteristic, RegionalEncording
RegionalEncoding > rdfs:value > Literal",RegionalEncoding,Literal,, ,
